Category ,Product ID,Products,Sub-Category
Furniture,FUR-BO-10001798,Bush Somerset Collection Bookcase,Bookcases
Furniture,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs
Office Supplies,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Labels
Furniture,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Tables
Office Supplies,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Storage
Furniture,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings
Office Supplies,OFF-AR-10002833,Newell 322,Art
Technology,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Phones
Office Supplies,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Binders
Office Supplies,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Appliances
Furniture,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Tables
Technology,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Phones
Office Supplies,OFF-PA-10002365,Xerox 1967,Paper
Office Supplies,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Binders
Office Supplies,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances
Office Supplies,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Binders
Office Supplies,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage
Office Supplies,OFF-ST-10000107,Fellowes Super Stor/Drawer,Storage
Office Supplies,OFF-AR-10003056,Newell 341,Art
Technology,TEC-PH-10001949,Cisco SPA 501G IP Phone,Phones
Office Supplies,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Binders
Office Supplies,OFF-AR-10000246,Newell 318,Art
Office Supplies,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances
Furniture,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Chairs
Furniture,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Tables
Office Supplies,OFF-BI-10001634,Wilson Jones Active Use Binders,Binders
Technology,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Accessories
Furniture,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases
Office Supplies,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Binders
Furniture,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings
Office Supplies,OFF-EN-10001509,Poly String Tie Envelopes,Envelopes
Office Supplies,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Art
Office Supplies,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders
Office Supplies,OFF-AR-10001683,Lumber Crayons,Art
Office Supplies,OFF-PA-10000249,Easy-staple paper,Paper
Technology,TEC-PH-10004977,GE 30524EE4,Phones
Furniture,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furnishings
Office Supplies,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes
Furniture,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases
Furniture,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Chairs
Technology,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Phones
Technology,TEC-PH-10004093,Panasonic Kx-TS550,Phones
Office Supplies,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Storage
Office Supplies,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage
Technology,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories
Office Supplies,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders
Office Supplies,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage
Technology,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories
